Statistical profiling result from isolate-0x40c1d20-v8-25259.log, (34379 ticks, 2082 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     69    0.2%    0.2%  LazyCompile: *<anonymous> /home/matt/dev/ld-hasher/node_modules/jsonld/lib/jsonld.js:254:48
     66    0.2%    0.2%  Builtin: PromiseHandle
     65    0.2%    0.2%  Builtin: InterpreterEntryTrampoline
     62    0.2%    0.2%  Stub: StringAddStub_ConvertRight_NotTenured
     62    0.2%    0.2%  Builtin: CallFunction_ReceiverIsAny
     61    0.2%    0.2%  Builtin: LoadIC
     55    0.2%    0.2%  Builtin: KeyedLoadICTrampoline
     53    0.2%    0.2%  LazyCompile: *_expandValue /home/matt/dev/ld-hasher/node_modules/jsonld/lib/expand.js:560:22
     50    0.1%    0.2%  Builtin: StringPrototypeReplace
     46    0.1%    0.1%  LazyCompile: *self.doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:101:28
     46    0.1%    0.1%  LazyCompile: *InnerArraySort native array.js:529:24
     46    0.1%    0.1%  Builtin: ArrayIncludes
     45    0.1%    0.1%  LazyCompile: *_tickCallback internal/process/next_tick.js:151:25
     45    0.1%    0.1%  LazyCompile: *<anonymous> /home/matt/dev/ld-hasher/node_modules/jsonld/lib/jsonld.js:511:69
     44    0.1%    0.1%  LazyCompile: *_objectToRDF /home/matt/dev/ld-hasher/node_modules/jsonld/lib/toRdf.js:180:22
     44    0.1%    0.1%  Builtin: ResolvePromise
     43    0.1%    0.1%  LazyCompile: *api.clone /home/matt/dev/ld-hasher/node_modules/jsonld/lib/util.js:55:21
     43    0.1%    0.1%  LazyCompile: *QuickSort native array.js:573:19
     41    0.1%    0.1%  LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:111:12
     38    0.1%    0.1%  LazyCompile: *api.clone /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/util.js:36:21
     37    0.1%    0.1%  LazyCompile: *self.forEach.err /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:288:8
     35    0.1%    0.1%  LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:96:43
     35    0.1%    0.1%  Builtin: PromiseResolveClosure
     34    0.1%    0.1%  LazyCompile: *<anonymous> /home/matt/dev/ld-hasher/node_modules/jsonld/lib/jsonld.js:624:47
     34    0.1%    0.1%  Function: ~api.prependBase /home/matt/dev/ld-hasher/node_modules/jsonld/lib/url.js:56:19
     33    0.1%    0.1%  LazyCompile: *<anonymous> /home/matt/dev/ld-hasher/node_modules/jsonld/lib/util.js:420:24
     33    0.1%    0.1%  Builtin: ResumeGeneratorTrampoline
     32    0.1%    0.1%  LazyCompile: *async.auto.hash /home/matt/dev/ld-hasher/index.js:97:25
     30    0.1%    0.1%  Function: ~ConvertToString native array.js:133:25
     30    0.1%    0.1%  Builtin: ToString
     30    0.1%    0.1%  Builtin: ArrayIndexOf
     28    0.1%    0.1%  LazyCompile: *Promise.all.queue.map /home/matt/dev/ld-hasher/node_modules/jsonld/lib/context.js:832:34
     28    0.1%    0.1%  Function: ~api.validateTypeValue.v /home/matt/dev/ld-hasher/node_modules/jsonld/lib/util.js:147:25
     28    0.1%    0.1%  Builtin: AsyncFunctionPromiseCreate
     27    0.1%    0.1%  Builtin: StringPrototypeIndexOf
     27    0.1%    0.1%  Builtin: RegExpPrototypeExec
     25    0.1%    0.1%  Stub: CallApiCallbackStub {1}
     25    0.1%    0.1%  LazyCompile: *_invokeCallback /home/matt/dev/ld-hasher/node_modules/jsonld/lib/util.js:444:25
     25    0.1%    0.1%  LazyCompile: *<anonymous> /home/matt/dev/ld-hasher/node_modules/lodash/lodash.js:4874:31
     24    0.1%    0.1%  LazyCompile: *getDependents /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:1648:27
     22    0.1%    0.1%  Stub: RecordWriteStub {7}
     22    0.1%    0.1%  LazyCompile: *DoJoin native array.js:95:16
     22    0.1%    0.1%  Builtin: RegExpPrototypeMatch
     21    0.1%    0.1%  LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:209:10
     21    0.1%    0.1%  Builtin: PromiseThen
     20    0.1%    0.1%  Function: ~match native string.js:7:23
     20    0.1%    0.1%  Builtin: Call_ReceiverIsAny
     20    0.1%    0.1%  Builtin: ArrayFilter
     19    0.1%    0.1%  LazyCompile: *iterator /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:86:18
     19    0.1%    0.1%  LazyCompile: *fn /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:52:19
     19    0.1%    0.1%  LazyCompile: *api.process /home/matt/dev/ld-hasher/node_modules/jsonld/lib/context.js:39:15
     19    0.1%    0.1%  Function: ~UseSparseVariant native array.js:62:26
     19    0.1%    0.1%  Builtin: StringPrototypeSubstr
     19    0.1%    0.1%  Builtin: GrowFastSmiOrObjectElements
     18    0.1%    0.1%  Builtin: AsyncFunctionAwaitCaught
     17    0.0%    0.1%  Builtin: ResolveNativePromise
     17    0.0%    0.1%  Builtin: LoadICProtoArray
     17    0.0%    0.1%  Builtin: ArrayMap
     16    0.0%    0.0%  Builtin: DeleteProperty
     15    0.0%    0.0%  Stub: JSEntryStub
     15    0.0%    0.0%  RegExp: ^(([^:\\/?#]+):)?(?:\\/\\/((?:(([^:@]*)(?::([^:@]*))?)?@)?([^:\\/?#]*)(?::(\\d*))?))?(?:(((?:[^?#\\/]*\\/)*)([^?#]*))(?:\\?([^#]*))?(?:#(.*))?)
     15    0.0%    0.0%  LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:40:7
     15    0.0%    0.0%  LazyCompile: *format url.js:569:39
     15    0.0%    0.0%  Builtin: AsyncFunctionAwaitUncaught
     14    0.0%    0.0%  LazyCompile: *sort native array.js:748:19
     14    0.0%    0.0%  LazyCompile: *iterateeCallback /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:920:34
     14    0.0%    0.0%  LazyCompile: *doWork /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:24:9
     13    0.0%    0.0%  RegExp: =+$
     13    0.0%    0.0%  LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:219:11
     13    0.0%    0.0%  LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:114:13
     13    0.0%    0.0%  LazyCompile: *retrieve /home/matt/dev/ld-hasher/node_modules/jsonld/lib/context.js:811:26
     13    0.0%    0.0%  Builtin: Typeof
     13    0.0%    0.0%  Builtin: StringCharCodeAt
     13    0.0%    0.0%  Builtin: KeyedStoreICStrictTrampoline
     13    0.0%    0.0%  Builtin: ArrayIteratorPrototypeNext
     13    0.0%    0.0%  Builtin: Apply
     12    0.0%    0.0%  Stub: CallICStubANY, DISALLOW_TAIL_CALLS
     12    0.0%    0.0%  LazyCompile: *taskComplete /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:1583:26
     12    0.0%    0.0%  LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:42:31
     12    0.0%    0.0%  LazyCompile: *processQueue /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:1563:26
     12    0.0%    0.0%  LazyCompile: *all native promise.js:11:20
     12    0.0%    0.0%  Builtin: JSEntryTrampoline
     11    0.0%    0.0%  Stub: CallApiCallbackStub {2}
     11    0.0%    0.0%  LazyCompile: *self.whilst.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:85:35
     11    0.0%    0.0%  LazyCompile: *self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:118:36
     11    0.0%    0.0%  LazyCompile: *baseForOwn /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:1338:20
     11    0.0%    0.0%  LazyCompile: *api.isString.v /home/matt/dev/ld-hasher/node_modules/jsonld/lib/types.js:81:16
     11    0.0%    0.0%  Builtin: StrictEqual
     11    0.0%    0.0%  Builtin: KeyedStoreIC_Megamorphic
     11    0.0%    0.0%  Builtin: CreateGeneratorObject
     10    0.0%    0.0%  RegExp: [A-Za-z0-9+\\-_/]+$
     10    0.0%    0.0%  LazyCompile: *self.hashFirstDegreeQuads /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:99:47
     10    0.0%    0.0%  LazyCompile: *forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:68:10
     10    0.0%    0.0%  LazyCompile: *<anonymous> /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:1521:32
     10    0.0%    0.0%  LazyCompile: *<anonymous> /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:1069:35
     10    0.0%    0.0%  Builtin: StringConstructor
     10    0.0%    0.0%  Builtin: PerformNativePromiseThen
     10    0.0%    0.0%  Builtin: JSConstructStubGenericUnrestrictedReturn
     10    0.0%    0.0%  Builtin: FastNewSloppyArguments
     10    0.0%    0.0%  Builtin: FastNewObject
      9    0.0%    0.0%  LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:93:13
      9    0.0%    0.0%  LazyCompile: *api.isBlankNode.v /home/matt/dev/ld-hasher/node_modules/jsonld/lib/graphTypes.js:95:19
      9    0.0%    0.0%  LazyCompile: *Hash crypto.js:76:14
      9    0.0%    0.0%  LazyCompile: *<anonymous> /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:1595:45
      9    0.0%    0.0%  Function: ~isString /home/matt/dev/ld-hasher/node_modules/lodash/lodash.js:12149:22
      9    0.0%    0.0%  Function: ~isBoolean /home/matt/dev/ld-hasher/node_modules/lodash/lodash.js:11396:23
      9    0.0%    0.0%  Function: ~api.normalizeDocumentLoader.fn /home/matt/dev/ld-hasher/node_modules/jsonld/lib/util.js:391:31
      9    0.0%    0.0%  Builtin: PromiseConstructor
      9    0.0%    0.0%  Builtin: ObjectHasOwnProperty
      9    0.0%    0.0%  Builtin: FastCloneShallowArrayDontTrack
      8    0.0%    0.0%  LazyCompile: *loop /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:117:19
      8    0.0%    0.0%  Function: ~self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:236:11
      8    0.0%    0.0%  Function: ~_tickCallback internal/process/next_tick.js:151:25
      8    0.0%    0.0%  Builtin: StoreICStrict
      8    0.0%    0.0%  Builtin: NewPromiseCapability
      8    0.0%    0.0%  Builtin: ArrayForEach
      7    0.0%    0.0%  Stub: CEntryStub {1}
      7    0.0%    0.0%  LazyCompile: *normalize /home/matt/dev/ld-hasher/index.js:93:16
      7    0.0%    0.0%  LazyCompile: *_setDefaults /home/matt/dev/ld-hasher/node_modules/jsonld/lib/jsonld.js:1014:22
      7    0.0%    0.0%  LazyCompile: *StackPush native array.js:80:19
      7    0.0%    0.0%  Function: ~api.removeDotSegments.path /home/matt/dev/ld-hasher/node_modules/jsonld/lib/url.js:223:25
      7    0.0%    0.0%  Builtin: KeyedStoreIC
      7    0.0%    0.0%  Builtin: JSConstructStubApi
      7    0.0%    0.0%  Builtin: Add
      6    0.0%    0.0%  Stub: InternalArrayConstructorStub
      6    0.0%    0.0%  LazyCompile: *keys /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:859:14
      6    0.0%    0.0%  LazyCompile: *<anonymous> /home/matt/dev/ld-hasher/node_modules/jsonld/lib/util.js:396:24
      6    0.0%    0.0%  Function: ~self.whilst.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:85:35
      6    0.0%    0.0%  Function: ~self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:148:7
      6    0.0%    0.0%  Builtin: NewUnmappedArgumentsElements
      6    0.0%    0.0%  Builtin: HandleApiCall
      5    0.0%    0.0%  Stub: CallApiGetterStub
      5    0.0%    0.0%  Stub: CallApiCallbackStub
      5    0.0%    0.0%  LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:75:7
      5    0.0%    0.0%  LazyCompile: *runTask /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:1592:21
      5    0.0%    0.0%  LazyCompile: *digest /home/matt/dev/ld-hasher/node_modules/ni-uri/index.js:77:16
      5    0.0%    0.0%  LazyCompile: *CreateResolveElementFunction native promise.js:24:7
      5    0.0%    0.0%  Function: ~self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:114:13
      5    0.0%    0.0%  Function: ~self.hashFirstDegreeQuads /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:99:47
      5    0.0%    0.0%  Function: ~replenish /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:935:28
      5    0.0%    0.0%  Function: ~ok assert.js:70:12
      5    0.0%    0.0%  Function: ~join native array.js:287:19
      5    0.0%    0.0%  Function: ~apply /home/matt/dev/ld-hasher/node_modules/lodash/lodash.js:492:17
      5    0.0%    0.0%  Function: ~QuickSort native array.js:573:19
      4    0.0%    0.0%  Stub: RecordWriteStub {9}
      4    0.0%    0.0%  Stub: RecordWriteStub {6}
      4    0.0%    0.0%  Stub: ArraySingleArgumentConstructorStub
      4    0.0%    0.0%  LazyCompile: *waterfall /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:108:12
      4    0.0%    0.0%  LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:236:11
      4    0.0%    0.0%  LazyCompile: *self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:148:7
      4    0.0%    0.0%  LazyCompile: *isValue /home/matt/dev/ld-hasher/node_modules/ni-uri/index.js:36:17
      4    0.0%    0.0%  LazyCompile: *isObject /home/matt/dev/ld-hasher/node_modules/lodash/lodash.js:11757:22
      4    0.0%    0.0%  LazyCompile: *isEncoding /home/matt/dev/ld-hasher/node_modules/ni-uri/index.js:32:20
      4    0.0%    0.0%  LazyCompile: *getId /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/IdentifierIssuer.js:41:8
      4    0.0%    0.0%  LazyCompile: *LazyTransform internal/streams/lazy_transform.js:12:23
      4    0.0%    0.0%  LazyCompile: *<anonymous> /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:1067:26
      4    0.0%    0.0%  Function: ~self.waterfall.callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:219:11
      4    0.0%    0.0%  Function: ~jsonld.documentLoader /home/matt/dev/ld-hasher/node_modules/bedrock/lib/jsonld.js:20:35
      4    0.0%    0.0%  Function: ~iterateeCallback /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:920:34
      4    0.0%    0.0%  Function: ~isValue /home/matt/dev/ld-hasher/node_modules/ni-uri/index.js:36:17
      4    0.0%    0.0%  Function: ~forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:68:10
      4    0.0%    0.0%  Function: ~Join native array.js:120:14
      4    0.0%    0.0%  Builtin: ToBoolean
      4    0.0%    0.0%  Builtin: LoadIC_FunctionPrototype
      4    0.0%    0.0%  Builtin: GetSuperConstructor
      4    0.0%    0.0%  Builtin: Equal
      3    0.0%    0.0%  Stub: RecordWriteStub {15}
      3    0.0%    0.0%  LazyCompile: *replenish /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:935:28
      3    0.0%    0.0%  LazyCompile: *enqueueTask /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:1557:25
      3    0.0%    0.0%  LazyCompile: *callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/index.js:70:14
      3    0.0%    0.0%  LazyCompile: *api.isObject.v /home/matt/dev/ld-hasher/node_modules/jsonld/lib/types.js:72:16
      3    0.0%    0.0%  LazyCompile: *addListener /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:1574:25
      3    0.0%    0.0%  LazyCompile: *Promise /home/matt/dev/ld-hasher/node_modules/rdf-canonize/index.js:64:31
      3    0.0%    0.0%  LazyCompile: *Promise /home/matt/dev/ld-hasher/node_modules/jsonld/lib/util.js:398:24
      3    0.0%    0.0%  LazyCompile: *Object.keys.filter.u /home/matt/dev/ld-hasher/node_modules/jsonld/lib/context.js:829:44
      3    0.0%    0.0%  LazyCompile: *Join native array.js:120:14
      3    0.0%    0.0%  LazyCompile: *InnerArrayJoin native array.js:274:24
      3    0.0%    0.0%  LazyCompile: *<anonymous> /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:902:20
      3    0.0%    0.0%  Function: ~work /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:32:19
      3    0.0%    0.0%  Function: ~self.whilst /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:85:21
      3    0.0%    0.0%  Function: ~self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:220:38
      3    0.0%    0.0%  Function: ~onlyOnce /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:901:18
      3    0.0%    0.0%  Function: ~once /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:416:14
      3    0.0%    0.0%  Function: ~fn /home/matt/dev/ld-hasher/node_modules/jsonld/lib/util.js:400:17
      3    0.0%    0.0%  Function: ~emitPendingUnhandledRejections internal/process/promises.js:79:42
      3    0.0%    0.0%  Function: ~callback /home/matt/dev/ld-hasher/node_modules/rdf-canonize/index.js:70:14
      3    0.0%    0.0%  Function: ~baseKeysIn /home/matt/dev/ld-hasher/node_modules/lodash/lodash.js:3513:24
      3    0.0%    0.0%  Function: ~async.auto.hash /home/matt/dev/ld-hasher/index.js:97:25
      3    0.0%    0.0%  Function: ~arrayEach /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:1281:19
      3    0.0%    0.0%  Function: ~api.clone /home/matt/dev/ld-hasher/node_modules/jsonld/lib/util.js:55:21
      3    0.0%    0.0%  Function: ~InnerArraySort native array.js:529:24
      3    0.0%    0.0%  Function: ~<anonymous> /home/matt/dev/ld-hasher/node_modules/lodash/lodash.js:4874:31
      3    0.0%    0.0%  Function: ~<anonymous> /home/matt/dev/ld-hasher/node_modules/jsonld/lib/util.js:420:24
      3    0.0%    0.0%  Function: ~<anonymous> /home/matt/dev/ld-hasher/node_modules/jsonld/lib/jsonld.js:254:48
      3    0.0%    0.0%  Function: ~<anonymous> /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:1595:45
      3    0.0%    0.0%  Builtin: PromiseResolve
      3    0.0%    0.0%  Builtin: InterpreterPushUndefinedAndArgsThenCallFunction
      3    0.0%    0.0%  Builtin: FunctionPrototypeApply
      3    0.0%    0.0%  Builtin: ArrayPrototypeValues
      2    0.0%    0.0%  Stub: StringAddStub_ConvertLeft_NotTenured
      2    0.0%    0.0%  Stub: RecordWriteStub {8}
      2    0.0%    0.0%  Stub: RecordWriteStub {5}
      2    0.0%    0.0%  Stub: RecordWriteStub {1}
      2    0.0%    0.0%  LazyCompile: *work /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:32:19
      2    0.0%    0.0%  LazyCompile: *isAlgorithm /home/matt/dev/ld-hasher/node_modules/ni-uri/index.js:40:21
      2    0.0%    0.0%  LazyCompile: *auto /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:1492:21
      2    0.0%    0.0%  LazyCompile: *apply /home/matt/dev/ld-hasher/node_modules/lodash/lodash.js:492:17
      2    0.0%    0.0%  LazyCompile: *_retrieveContextUrls /home/matt/dev/ld-hasher/node_modules/jsonld/lib/context.js:801:36
      2    0.0%    0.0%  LazyCompile: *CreateResolveElementFunction native promise.js:22:38
      2    0.0%    0.0%  LazyCompile: *<anonymous> /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:1558:34
      2    0.0%    0.0%  Function: ~taskComplete /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:1583:26
      2    0.0%    0.0%  Function: ~self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:46:33
      2    0.0%    0.0%  Function: ~self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:42:31
      2    0.0%    0.0%  Function: ~self.forEach /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:118:36
      2    0.0%    0.0%  Function: ~modifyFirstDegreeComponent /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:507:29
      2    0.0%    0.0%  Function: ~iterator /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:86:18
      2    0.0%    0.0%  Function: ~isObject /home/matt/dev/ld-hasher/node_modules/lodash/lodash.js:11757:22
      2    0.0%    0.0%  Function: ~isLength /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:362:18
      2    0.0%    0.0%  Function: ~isArrayLike /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:392:21
      2    0.0%    0.0%  Function: ~hashFirstDegreeQuads /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/URDNA2015.js:255:23
      2    0.0%    0.0%  Function: ~getDependents /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:1648:27
      2    0.0%    0.0%  Function: ~get /home/matt/dev/ld-hasher/node_modules/jsonld/lib/jsonld.js:804:8
      2    0.0%    0.0%  Function: ~fn /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/AsyncAlgorithm.js:52:19
      2    0.0%    0.0%  Function: ~emitBeforeScript async_hooks.js:365:26
      2    0.0%    0.0%  Function: ~dirname path.js:1351:28
      2    0.0%    0.0%  Function: ~copyObject /home/matt/dev/ld-hasher/node_modules/lodash/lodash.js:4799:24
      2    0.0%    0.0%  Function: ~api.process /home/matt/dev/ld-hasher/node_modules/jsonld/lib/context.js:39:15
      2    0.0%    0.0%  Function: ~api.expand /home/matt/dev/ld-hasher/node_modules/jsonld/lib/expand.js:55:14
      2    0.0%    0.0%  Function: ~api.clone /home/matt/dev/ld-hasher/node_modules/rdf-canonize/lib/util.js:36:21
      2    0.0%    0.0%  Function: ~api.canonize /home/matt/dev/ld-hasher/node_modules/rdf-canonize/index.js:61:24
      2    0.0%    0.0%  Function: ~api.callbackify.fn /home/matt/dev/ld-hasher/node_modules/jsonld/lib/util.js:419:19
      2    0.0%    0.0%  Function: ~all native promise.js:11:20
      2    0.0%    0.0%  Function: ~_setDefaults /home/matt/dev/ld-hasher/node_modules/jsonld/lib/jsonld.js:1014:22
      2    0.0%    0.0%  Function: ~_retrieveContextUrls /home/matt/dev/ld-hasher/node_modules/jsonld/lib/context.js:801:36
      2    0.0%    0.0%  Function: ~_graphToRDF /home/matt/dev/ld-hasher/node_modules/jsonld/lib/toRdf.js:73:21
      2    0.0%    0.0%  Function: ~_expandValue /home/matt/dev/ld-hasher/node_modules/jsonld/lib/expand.js:560:22
      2    0.0%    0.0%  Function: ~StackHas native array.js:86:18
      2    0.0%    0.0%  Function: ~Promise /home/matt/dev/ld-hasher/node_modules/rdf-canonize/index.js:64:31
      2    0.0%    0.0%  Function: ~Object.keys.filter.u /home/matt/dev/ld-hasher/node_modules/jsonld/lib/context.js:829:44
      2    0.0%    0.0%  Function: ~Module._compile module.js:530:37
      2    0.0%    0.0%  Function: ~Hash crypto.js:76:14
      2    0.0%    0.0%  Function: ~<anonymous> /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:1545:50
      2    0.0%    0.0%  Function: ~<anonymous> /home/matt/dev/ld-hasher/node_modules/async/dist/async.js:1521:32
      2    0.0%    0.0%  Builtin: LoadICTrampoline
      2    0.0%    0.0%  Builtin: JsonStringify
      2    0.0%    0.0%  Builtin: InterpreterPushArgsThenCall
      2    0.0%    0.0%  Builtin: CallForwardVarargs
